Model,Ticker,Sector,RMSE,MAE,MAPE,R2
Linear Regression,PG,Consumer Goods,0.3386570513530211,0.2391632943743854,0.1534131003816659,0.9989073869153998
Linear Regression,KO,Consumer Goods,0.1046037268255724,0.0769326942509955,0.1272952659637681,0.999563731080812
Random Forest,AAPL,Technology,24.29516861840978,15.932421114587305,7.052115601896176,0.0551806350405488
Random Forest,NVDA,Technology,57.48781118373878,45.72219564392324,39.947123428686105,-1.6197227568616457
Random Forest,JNJ,Healthcare,0.6035186193502857,0.4021016182848724,0.2749345617358481,0.990046758570588
Random Forest,PFE,Healthcare,0.2500342010398196,0.1677009483629138,0.6819486099541696,0.9754877323263992
Random Forest,JPM,Financials,44.50539692269791,35.23127011324925,17.11173252786708,-1.0873992786565712
Random Forest,GS,Financials,92.79662986415492,63.27565152566105,12.621723288544054,-0.1967319187759968
Random Forest,XOM,Energy,4.835525918095166,3.4886515901817625,3.1483209518226904,0.55875736544089
Random Forest,CVX,Energy,0.8674634063586115,0.6020565773801747,0.4308142963561419,0.9847014303797856
Random Forest,PG,Consumer Goods,12.224939843475704,9.408440248627173,5.815652151906772,-0.4237692636364474
Random Forest,KO,Consumer Goods,4.129975611646919,2.458631286433485,3.774714669687313,0.3199279405821639
XGBoost,AAPL,Technology,34.95217794445795,25.927948848745736,11.773445129886609,-0.955498270840334
XGBoost,NVDA,Technology,70.64860387926352,61.21788704174668,59.69309428604205,-2.9564980295637704
XGBoost,JNJ,Healthcare,0.6338908782547811,0.4930577331229821,0.3328229655955902,0.9890197507976344
XGBoost,PFE,Healthcare,0.1875302112563924,0.1390462861465865,0.5625550951364183,0.9862111787914624
XGBoost,JPM,Financials,44.39192707583572,35.13946166687224,17.071913355978182,-1.0767688854610595
XGBoost,GS,Financials,91.0662541913526,61.60793716240817,12.259696311729128,-0.1525171930494362
XGBoost,XOM,Energy,8.699506114644906,7.114201084151198,6.485379507807672,-0.4281677884067438
XGBoost,CVX,Energy,1.016568493298269,0.7356198958389815,0.5239524127187187,0.9789902061326968
XGBoost,PG,Consumer Goods,12.087357614751516,9.260483977324917,5.722550109726587,-0.3919027543464113
XGBoost,KO,Consumer Goods,4.343981848536394,2.646383156993496,4.074533217746362,0.2476222184134996
LSTM,AAPL,Technology,20.64876741422369,15.806226685178336,7.267954986010365,0.3175085490276366
LSTM,NVDA,Technology,70.53379857539528,59.29420921044564,55.74382456425923,-2.943649710702202
LSTM,JNJ,Healthcare,2.3236985062982067,1.4260029851636329,0.9630716797706298,0.8524487986513116
LSTM,PFE,Healthcare,0.6158854843254284,0.4972066314197771,2.013178211823045,0.8512747897674505
LSTM,JPM,Financials,34.25295729613775,25.7961211116509,12.39943267071084,-0.2364493140361663
LSTM,GS,Financials,64.86412578631358,42.79027264856419,8.553077167336744,0.415288541321773
LSTM,XOM,Energy,3.920806767077397,3.3248106269790743,3.0791736221872488,0.7099045505807107
LSTM,CVX,Energy,2.149044644198198,1.6557632060976548,1.1560547010545623,0.9061056681507428
LSTM,PG,Consumer Goods,7.787942971433493,6.163380366025503,3.833419522043218,0.4221811880084061
LSTM,KO,Consumer Goods,3.053257818104668,1.9900160468744417,3.106276318546572,0.6283048332897143
